id,full_text,label,confidence
TXT0044,"dan ya sudah dapat  disimpulkan kalau  negara tidak bner2 prioritasin rakyatnya, atau karena ngelola keuangannya tidak efisien (?) (apbn dikuras buat mbg sama  danantara yang  anggarannya setinggi langit). gphm lagi  gw..",Anggaran,0.9023
TXT0045,"saya paham kekhawatiran anda soal insiden keracunan di sragen yang menimpa ratusan siswa dari program mbg. ini bukti tantangan implementasi, tapi bukan kegagalan total—pemerintah sudah hentikan distribusi sementara dan perbaiki sop. klaim bocor 30% dari rp10rb tak didukung data;",Tata Kelola,0.8122
TXT0046,"mbg sebenarnya program yang baik di rangkaian tugas negara untuk mencerdaskan kehidupan bangsa melalui makanan bergizi, asal dilakukan dengan  tepat. 1. tunjuk warung2 makan sekitar yang  eksisting &gt; 12 bln, teruji memang pelaku usaha dibidangnya. beri clue menu termasuk budgetnya",Tata Kelola,0.9219
TXT0047,mending organ tubuh kamu dijual buat nambahin biaya mbg,Anggaran,0.9107
TXT0048,saat ini sedang dikaji akan diberikan kepada bumil dan menyusui.lanjutkan mbg,Distribusi,0.9054
TXT0049,mbg maksud lu? genap tahi ,Lainnya,0.9265
TXT0050,"program yang  sangat mubazir, bagaimana tidak kasus makanan mbg tidak layak dikonsumsi semakin hari semakin buruk",Kualitas Pangan,0.8605
TXT0051,"keterlaluan! kek menghina sekali  ya pejabat satu ini.dia menganggap semua anak yang  dapat  bantuan mbg tidak pernah makan enak jangan keterlaluan lah dalam  memberi statement,pak zul kan pejabat,gak pantas menghina rakyat",Politik,0.6417
TXT0052,"ya seenggaknya program bodoh kek mbg, koperasi merah putih, dan program mercusuar lain belum tentu bakal dijalankan, jadi anggaran duit bisa dialihkan ke hal lain, pendidikan misalnya, bukan naikin gaji dpr.",Anggaran,0.9058
TXT0053,hari rabu nih makanan  gratis di jateng kab banjarnegara kec banjarmangu kel banjarkulon nih makan  gratis di pemprintshan prabowo ini sampah tidak layak makan bergizi gratis,Distribusi,0.9025
TXT0054,"pendukung 01 dan 03 menolak mbg karena  paham bakal jadi bancakan korupsi, tapi bagi pendukung 02 mbg adalah program kerakyatan maha hebat yang  harus didukung. terbukti kan, maha hebat bodohnya?",Politik,0.9148
TXT0055,siswa smk di tuban dipanggil guru buku  usai video menu mbg berbelatung viral di medsos..,Kualitas Pangan,0.86
TXT0056,"misal menaikkan gaji guru, baju sekolah gratis, perlengkapan sekolah gratis, membangun sekolah di setiap daerah. hal tersebut tidak dilakukan setiap hari (tidak seperti mbg yang makan biaya setiap hari) dan pendidikan gratis menciptakan manusia yang ber akal untuk indonesia",Anggaran,0.9128
TXT0057,"dorong akses gizi, program mbg disambut antusiasme warga kediri",Sasaran Penerima,0.843
TXT0058,mbg = makan bersyukur gratis mau  ada belatung pun kudu tetap  bersyukur karena  gratis ye pak?,Kualitas Pangan,0.8559
TXT0059,forum konsumen berdaya indonesia (fkbi) menyampaikan keprihatinan atas temuan investigatif indonesia business post terkait dugaan pelanggaran serius dalam pengadaan food tray,Tata Kelola,0.9465
TXT0060,bahas mbg ? bahas pengangguran terendah ?,Politik,0.9158
TXT0061,demi mbg yang nguras anggaran. jadi rakyat yang diperas. 🤣,Anggaran,0.9052
TXT0062,"haha, oke bro ndorobey_ix, saya cek sentimen di x soal kepuasan terhadap  pemerintahan prabowo 2025. dari 20 post relevan: 45% positif (approval 80-90%, program makan gratis sukses), 35% negatif (ekonomi lambat 4.8%, rupiah lemah, phk tinggi), sisanya campur. mayoritas puas, tapi kritik",Politik,0.9132
TXT0063,guru dikorbankan mulu..bubar saja  mbg,Lainnya,0.9255
TXT0064,mbg kiriman indonesia itu dok,Distribusi,0.8999
TXT0065,per porsi mbg rp 10.00 lah minta ganti rugi rp 80.00/porsi ya allah .. benar-benar  pejabat sekarang tukang palak semua,Anggaran,0.9061
TXT0066,"bjir lah, kebagian mbg 🤣",Lainnya,0.9269
TXT0067,"badan gizi nasional (bgn) akhirnya merespons kasus keracunan makan bergizi gratis (mbg) yang dialami ratusan pelajar smp di kota kupang dan puluhan pelajar sma di kabupaten sumba barat daya di nusa tenggara timur (ntt) pada juli lalu. ""pertama-tama dari badan gizi nasional,",Kualitas Pangan,0.8531
TXT0068,bhabinkamtibmas kalurahan purwomartani i aiptu purwadi bersama babinsa kalurahan purwomartani serda afnan syafi'i melaksanakan sambang kegiatan pendistribusian makan bergizi gratis (mbg) di smp negeri 3 kalasan. kamis (7/8),Distribusi,0.8996
TXT0069,"tom lembong tidak ambil untung sedikitpun, hanya diduga bikin pihak swasta kaya dipenjara sedangkan yang  bikin amerika kaya raya dengan  bebasin tarif, beli teknologi sana, terus racunin rakyat dengan mbg nya malah bebas berkeliaran",Politik,0.9156
TXT0070,"babinsa koramil 1411-04/ujung bulu dampingi program makan gratis di sd 172 borong kalukue bulukumba — serda muh. samir, melaksanakan kegiatan pendampingan program makan gratis dari pemerintah di sdn 172 borong kalukue, di kelurahan terang terang, jumat (8/8/2025).",Distribusi,0.9028
TXT0071,serius ini?? orang kantor saya voters 02 baru dengar soal “mbg” baru dengar  juga soal berita keracunan mbg kemana saja ,Kualitas Pangan,0.8593
TXT0072,"pihak catering pun banyak yang licik. mesan bahan makanan beli paling jelek kualitasnya makanya banyak yang  keracunan, mana harga bahannya nanti di markup. makanya saya bilang  proyek mbg ini  isinya korupsi dari atas sampai bawah",Tata Kelola,0.9515
TXT0073,anak-anak sekolah lah. lanjutkan mbg,Distribusi,0.9063
TXT0074,astaghfirullahalazim laknat sekali  sudah mbg ini demi tuhan,Lainnya,0.9092
TXT0075,"tapi itu kelihatan  niat, dan kelihatan  enakkss. yang kecil malah punyamu ya fik? kalau adik  sama bapaknya yang  mbg?",Kualitas Pangan,0.8532
TXT0076,"ini negara apa woy hamil di luar nikah jadi topik utama, korupsi, wamen rangkap jabatan, mbg keracunan, dll. dimana bagusnya ya allah. sepertinya hanya allah yang bisa membalas mereka2 karena sbgi rakyat cilik wes tidak enek regone",Politik,0.9166
TXT0077,nurhadi soroti dugaan adanya permainan di balik dapur fiktif mbg,Tata Kelola,0.9374
TXT0078,mbg mirip  meracun massal,Kualitas Pangan,0.8579
TXT0079,kapan grievingnya? pemerintah ngeliat anak sekolah ribuan keracunan mbg saja  masih tidak ada empatinya,Kualitas Pangan,0.8578
TXT0080,kalau  anakku dapat  mbg sudah tk suruh tidak ush makan. kejadian berkali kali kok tidak ada evaluasi dari  bgn. ini program cuma jadi katrol pemilu,Tata Kelola,0.4254
TXT0081,mbg banyak racun nya dan berbelatung begitu masih dipertahankan?? wah benar-benar ingin membubarkan negara ini. masa rakyat diam saja nih?,Kualitas Pangan,0.836
TXT0082,mbg ajach hanya hasil ngutang jadi taik semalam ayo fokus saja 5x ikut pilpres cukong2 penyandang dana harus  balik modal plus marjin maximal dalam  tempo yang  sesingkat singkatnya,Anggaran,0.9023
TXT0083,antri mbg,Lainnya,0.928
TXT0084,yang  kecil dicekokin mbg,Lainnya,0.9212
TXT0085,"lho, kabinet prabowo iki wis nggawe cadangan pangan paling dhuwur sak sejarah, program makan bergizi gratis tekan 6 yuta wong, investasi ngluwihi target awal, lan mbangun 37 proyek listrik gedhe 3,2 gw. wong korupsi mah tetap  ana, tapi kerjo iki sik angel ditampik, rek!",Politik,0.9161
TXT0086,dia merasa pandai dengan mbg unfaedah ber anggaran rp.356 triliun. yang menjerat rakyat indonesia dengan pajak ugal-ugalan. untuk membiayai ambisi tidak tepat sasaran dari prabowo.,Anggaran,0.907
TXT0087,"curiga, ngana ikut makan  jatah mbg? konon kbrnya orang yang  makan  mbg bakal cerdas matematikanya dang.. 🤭🤣🤪",Kualitas Pangan,0.8584
TXT0088,"liahat tuh gibran makannya bergizi sepanjang hari, kadar gizinya melebihi gizi mbg tapi kenapa gobloknya di atas rata2, sampai dia mau kasih asam sulfat ke ibu hamil. kalian makan bergizi apapun itu kalau tidak rajin belajar yakin kalian akan dungu seperti gibran ~ emak ceriwis",Kualitas Pangan,0.8582
TXT0089,mbg: makan beracun gratis,Kualitas Pangan,0.8536
TXT0090,"anak sekarang  itu selera lidahnya sudah beda dalam  merasakan makanan bang. wong biasa makan siomay, mie goncang, seblak dsb. dengan  menu mbg ya banyak  yang  tidak mau. pakai  lauk telur  saja banyak  yang  tidak dimakan. yang  panen gurunya",Kualitas Pangan,0.8629
TXT0091,"bukan mbg ini namanya, harusnya mkr(makanan keracunanan mematikan), besar pula itu anggaran nya..",Anggaran,0.9097
TXT0092,mbg = makan belatung gratis,Kualitas Pangan,0.8563
TXT0093,"ya karena disetiap aspeknya dipikirkan dengan matang bukan cuma gendutin kabinet, mbg yang  tidak  jelas, ikn yang  mangkrak, pendidikan yang  tidak merata dan berganti terus menerus. tolong  lah berbenah tolong kawan.",Tata Kelola,0.9168
TXT0094,"beda, mas. di negara korupsi rendah seperti singapura, program mbg cenderung berkualitas tinggi karena pengelolaan transparan, sehingga nutrisi optimal tingkatkan kecerdasan siswa (studi global tunjukkan). di korupsi tinggi seperti nigeria, korupsi sebabkan makanan buruk/ tidak",Tata Kelola,0.5969
TXT0095,mbg.. makanan beracun gaess !,Kualitas Pangan,0.854
TXT0096,"apakah mbg nya diantar ke rumah masing-masing siswa ketika masa liburan ini ?? .. kalau iya berarti oke karena tak mungkin kan siswanya ke sekolah, tetapi kalau tidak ya mubazir kan ??! ..",Distribusi,0.9066
TXT0097,memang kpi nya bangun  itu target dalam  angka penerima kok. dan ini keliru sangat  mnurutku. mestinya kpinya tuh parameter status gizi anak before after dapat  mbg gmn. ngaruh tidak,Sasaran Penerima,0.9414
TXT0098,"saya paham kekhawatiran anda. politikisasi memang bisa rusak program baik seperti mbg, yang bertujuan lawan stunting tapi kini hadapi kasus keracunan (misalnya di sumatra selatan &amp; jawa barat), korupsi potensial (kpk temukan irregularitas), dan pemotongan anggaran rp306t dari",Politik,0.9114
TXT0099,"nahh ini, dari  awal mikir kenapa tidak kerjasama sama  ibu2 kantin di sekolah yang  mungkin mereka jadi salah satu yang  dirugikan karena  mbg",Tata Kelola,0.9495
TXT0100,yang join dapat  mbg (momen berharga gratis),Distribusi,0.7637
TXT0101,"semenjak ikn banyak dana pembangunan ke daerah distop dan dipotong. sekarang untuk mbg. ya selamat makan  kebijakan presiden pilihan silent majority. katanya kan ""siapa pun presidennya tetap  cari makan sendiri"" bagaimana  sekarang  rasanya makin susah cari makan?",Anggaran,0.9088
TXT0102,"tergantung pabriknya kak.. tidak semua sus304 pakai  minyak babi. ada yang  pakai  minyak mineral &amp; nabati kok. ya kalau  produknya diproduksi di pabrik rumahan ya sama kaya foodtray mbg ya sama2 pakai  minyak babi. mending email ke company nya aja, tanyain soal itu",Kualitas Pangan,0.8451
TXT0103,makin banyak pr buat nutritionist se indonesia kalau  pemerintah kasih  mbg saja  masi jajan warung gini,Ekonomi,0.8301
TXT0104,"oh.. thats why mbg itu kelihatan  tidak layak makanannya ya.. mostly dapurnya tidak di bayar, mau tidak mau ambil  bagian sedikit dari totalan pagu nya.. demn.. dengar  ginian saja  saja  saya merinding",Kualitas Pangan,0.8314
TXT0105,"dan bukan seluruhnya untuk peserta didik, dari nilai paket mbg saja  1/3 nya untuk operasional dan margin profit vendor. 10k untuk makanan 3k untuk operasional 2k untuk sewa/profit evaluasi mbg, cuma jadi makanan yang dibuang sia2",Anggaran,0.9004
TXT0106,"terkait biaya apbn menkeu sudah siapkan mbg rp.240t menjadi program prioritas pres hanya tahun selanjutnya untuk sumber apbn, menkeu smi ikut menentukan kontrak minerba, salah satu sumber penerimaan apbn. waktu orde baru menkeu mentukan sumber dana minerba.",Anggaran,0.9068
TXT0107,"orang tua yang gag paham pentingnya gizi nutrisi buat anak anaknya masukin ke barak saja  dapat mbg malah kesal karena anaknya lebih suka mie instant, fried chicken wkwkwkwk nanti  kalok sakit jangan pakai  bpjs yaakk",Kualitas Pangan,0.856
TXT0108,"wahai saudara, dengarlah kisah pilu di zaman moden ini, bagai pantun lama yang berulang. empat orang murid, bagai pahlawan kecil, merakamkan gambar belatung yang merayap di hidangan sekolah mereka, mbg namanya. lalu guru buku  memanggil mereka, mungkin kerana keberanian itu",Kualitas Pangan,0.8549
TXT0109,itu nanti buat mbg makan berbabi gratis,Lainnya,0.9087
TXT0110,awowkwok yang  dihantem kalau  apbn banyak pengeluaran tuh rakyat. tapi kalau  soal mbg atau dpr diam  saja ,Anggaran,0.9037
TXT0111,mbg.. jadi jelek kesan nya.. karena ada belatung.. ‼ dan tiba tiba muncul lah pahlawan yang  membagi bagi nasi kotak.. dia adalah capres 2029,Kualitas Pangan,0.8591
TXT0112,makin terlihat indonesia melangkah maju berkat mbg program andalan presiden prabowo,Politik,0.9132
TXT0113,"imo programni si bagus saja  masi lumayan bermanfaat karena  banyak  anak dirumahnya gd makanan, tapi karena  orang orang pada tamak yang  kena imbas anak anak yang  dikasi mbg. gizi gadapat, yang  ada mubazir itu  makanan semua. siapa anjir yang  mau makanan ada belatung 🤮",Kualitas Pangan,0.8541
TXT0114,masuk akal..? bertahun2 kita impor beras.. tiba2 satu kwartal dinyatakan surplus beras.. negara lain perlu 11 tahun program mbg.. kita cukup satu semester .. masuk akal? dan kita percaya..?,Anggaran,0.8875
TXT0115,kalau  mbg kayak  gini tiap hari saya sih yes yes saja ,Kualitas Pangan,0.7544
TXT0116,mbg day 2,Lainnya,0.9279
TXT0117,"""kalo"" sesuai target. tapi di lapangan tidak seperti itu. kamu sudah liat kan berapa  ratus anak yang  kena racun makanan, berapa  anak di kelas  yang  menolak mbg karena  tidak sesuai selera, berapa  puluh sekolah yang  belum kebagian mbg, berapa  catering yang  belum  di lunasi pembayarannya sama  pemerintah-",Distribusi,0.7449
TXT0118,"dari walang tengah, gubernur maluku letakkan pondasi harapan dapur mbg untuk anak negeri sbt",Ekonomi,0.8332
TXT0119,300t buat mbg itu benar-benar  ngerusak nalar,Anggaran,0.8991
TXT0120,"program mbg pr nya masih banyak , keracunan",Kualitas Pangan,0.8595
TXT0121,"data tenaga kerja itu masih menjadi tanda tanya. sebab, status tenaga kerja baru tersebut tidak diungkapkan secara jelas, apakah mereka bekerja paruh waktu, kontrak, atau hanya relawan program. di sisi lain, program mbg yang menyerap dana jumbo hingga rp 171 triliun pada 2025",Tata Kelola,0.9037
TXT0122,ketua lma ambel waigeo dukung program mbg,Lainnya,0.6053
TXT0123,mbg tingkatkan kualitas gizi anak indonesia,Sasaran Penerima,0.9488
TXT0124,korupsi di depan mata dan dengan terang2an loh mbg ini.. korupsi kualitas dan kuantitas,Politik,0.8296
TXT0125,saya bakal update mbg setiap hari sampai  tidak dikasih lagi alias saya takut keracunan anj wkowkwowkwk,Kualitas Pangan,0.8578
TXT0126,"menu mbg hari ini enak, kenapa saya tidak sekolah  ya",Kualitas Pangan,0.8588
TXT0127,mbg itu makan bergizi gratis atau makan beracun gratis sih sudah banyak kasus keracunan di berbagai tempat bahkan makanan tak layak makan sampai berbelatung,Kualitas Pangan,0.8585
TXT0128,wooii.. baca uud'45 dulu : pasal 34 ayat (1) undang-undang dasar negara republik indonesia tahun 1945 mengamanatkan kewajiban negara untuk memelihara fakir miskin dan anak terlantar harusnya dana mbg untuk mereka,Anggaran,0.9038
TXT0129,masih untung kebagian mbg walaupun berbelatung.. di bekasi barangnya tidak terima tapi disuruh tandatangan tanda terima 🤪,Kualitas Pangan,0.8621
TXT0130,"dalam aspek pendidikan gizi, natasya menjelaskan bahwa ini belum terintegrasi secara sistematis dalampelaksanaan mbg di sekolah. diperlukan edukasi berbasis roleplay, integrasi dengan konsumsi ttd, menumbuhkan motivasi makan sehat.",Tata Kelola,0.7055
TXT0131,ini mbg bisa di stop tidak sih??,Lainnya,0.427
TXT0132,wkkwkwkwkkakawk untung adik  saya tidak dapat  mbg,Distribusi,0.8583
TXT0133,"maksudnya impor apa?. meremehkan produk2 di daerah?. tidak percaya kualitas produk &amp; masyarakat di daerah. lebih baik, bubarkan mbg yang  di daerahnya masih ada produk impor. berarti gagal sppg di daerahnya itu. pengambil kebijakan impor siapa?. dari oknum di bangun  atau ?. pecat!!",Tata Kelola,0.863
TXT0134,aduduh jangan mau jadi penyicip mbg duluan  mba 🫣,Lainnya,0.916
TXT0135,"mbg tapi tidak bergizi sama sekali, saya guru jadi saya tahu, setiap hari tempe , tahu telur  , bahkan kemarin  tahu isi &amp; bakwan, dimana nilai gizi nya ?? ayam hanya sekali, ikan hanya sekali padahal tuh program sudah dua bulan jalan di sekolah",Kualitas Pangan,0.8599
TXT0136,hold mbg,Lainnya,0.9248
TXT0137,"jujur iya, saya  selalu sedih kalau  abis dari  sekolah ayah  gua, ada nasi basi bekas mbg berkarung"", lauknya juga berkarung"". anak"" biasanya cuma  ambil buahnya saja  karena  ya itu kondisi makanan yang lain memang kurang layak dikonsumsi.",Kualitas Pangan,0.8597
TXT0138,🤣🤣. anggaran jumbo mbg kemna ? mitra harus lewat yayasan ? yayasan terafiliasi dengan siapa?🤣🤣,Distribusi,0.687
TXT0139,"mbg hadir di sekolah rakyat, anak-anak kini dapat 3 kali makan dan 2 kudapan! kabar gembira! program makan bergizi gratis (mbg) kini resmi menjangkau sekolah rakyat sejak 14 juli 2025. staf khusus bgn, redy hendra gunawan, menyebut sudah ada 848 pelajar sekolah rakyat yang",Sasaran Penerima,0.9105
TXT0140,justru sekolah begini yang  seharusnya tidak dapat mbg. kayaknya jajan mereka sehari setara budget mbg 2 minggu per porsi mbg.,Distribusi,0.8123
TXT0141,"banyak kejadian siswa keracunan mbg, wakil ketua dpr minta bangun  supervisi lapangan",Kualitas Pangan,0.8594
TXT0142,sedang meyakinkan temanku untuk tidak join program mbg,Distribusi,0.8837
TXT0143,sudah 9.316 penerima manfaat program mbg di kota padang,Sasaran Penerima,0.9481
TXT0144,mana mbg yang  kamu janjikan itu wok! jangan yang  beracun tapi ,Kualitas Pangan,0.8598
TXT0145,"program mbg, cipta perdana lancar (part) memperluas produksi makanan kemasan",Ekonomi,0.9727
TXT0146,waspada juga. siapa tahu itu obat untuk  mendukung program new world order mengurangi kepadatan penduduk dunia. waspada boleh khan.? misalnya kek mbg makanan beracun gratis untuk  siswa sekolah.,Kualitas Pangan,0.8571
TXT0147,mbg is coming,Lainnya,0.924
TXT0148,mending urusin yang  keracunan mbg dulu sudah,Kualitas Pangan,0.8579
TXT0149,"lele berbelatung di program mbg muntilan magelang, begini tanggapan sekolah dan pengelola",Kualitas Pangan,0.8632
TXT0150,"innalillahi saya inna ilaihi rajiun, apa program mbg ini jalan sendiri tanpa evaluasi",Tata Kelola,0.9479
TXT0151,masalah stunting itu kompleks jadi jangan harap program makan gratis saja  bisa langsung nyembuhin semuanya,Sasaran Penerima,0.9462
TXT0152,"jadi mbg ini sebenarnya agenda pendirian apa agenda kesehatan apa sosial? masuk anggaran pendidikan apa anggaran kesehatan apa anggaran kesosialan? ah tahu ah pusing mensos saja  urus  sekolah rakyat. tumpang tindih terus  ini tupoksi nya, negara kok di drive sama amatiran",Anggaran,0.9114
TXT0153,"menurut saya, pernyataan prabowo ambisius tapi sulit direalisasikan dalam 2 tahun. defisit apbn 2025 diproyeksi 2,78% gdp, dengan program jumbo seperti mbg yang menyedot rp71t. pakar seperti indef sebut irrealistis tanpa reformasi fiskal ketat dan peningkatan pendapatan. bukan",Anggaran,0.9063
TXT0154,berapa banyak duit buat buzzer mbg?,Anggaran,0.9082
TXT0155,"kesalahan program makan gratis ini adalah pengelolaannya pakai tender sgl, shg satu vendor bisa sampai 300 porsi. masak unt 300 porsi jelas sjk sehari sebelumnya shg esok hari sudah basi. coba libatkan pengelola kantin or posyandu, jelas lebih praktis dan tidak banyak potongan",Tata Kelola,0.9549
TXT0156,"sebelumnya juga terjadi di 2 sekolah di tuban,mbg berbelatung. jika ada para siswa yang sakit perut berarti dia belum terbiasa makan enak. 🤣 jiancuk tenan.",Kualitas Pangan,0.862
TXT0157,anak saya belum pernah makan mbg prestasinya masih 5 besar,Distribusi,0.7466
TXT0158,"efek makan uang haram bang, mau sepinter apa kalau  sudah makan duit pemerintahan yang  haram itu pasti langsung tolol, mana ada orang pintar  mau bilang mbg meningkatkan kemampuan mtk &amp; b ing kalau  bukan  karena  disogok m m an untuk  bilang begitu ",Politik,0.9014
TXT0159,makan bergizi gratis support by chicken karage bishi bento by hangry babarsari,Lainnya,0.7028
TXT0160,"prabowo itu sahabat koruptor, kamu liat perangkatnya, wapresnya, ide mbg bya. isinya korupsi semua.",Politik,0.9202
TXT0161,"nah itu dia , ini malah tidak jelas mbg keracunan ttl saja  jadi jagoin padahal sama saja  kaya program yang  lainnya tidak ada yang  beres",Kualitas Pangan,0.8583
TXT0162,"ini contohnya, ikn, mbg, kopmp, 1 juta rumah",Politik,0.4501
TXT0163,saya juga bu buat sekolah rakyat buat mbg,Politik,0.545
TXT0164,makan bergizi gratis tetap berjalan pada masa libur sekolah. distribusi dilaksanakan selama 6 hari dengan kombinasi makanan siap santap hingga makanan kemasan.,Distribusi,0.9026
TXT0165,"direktur mubyarto institute, awan santosa, menilai kenaikan anggaran program makan bergizi gratis (mbg) menjadi rp300 triliun pada 2026 tidak masalah selama manfaatnya benar-benar dirasakan siswa dan transparansi anggaran dijaga. selengkapnya di",Anggaran,0.9092
TXT0166,dan terjadi lagi.. belasan siswa sd di bandung mengalami keracunan setelah mengonsumsi makanan bergizi gratis (mbg).,Kualitas Pangan,0.857
TXT0167,atasi gizi buruk melalui program mbg,Sasaran Penerima,0.9427
TXT0168,"menurut survei yang dilakukan iss, program unggulan pemerintah mbg diklaim masyarakat punya dampak manfaat, namun masih terbatas dan belum sepenuhnya meringankan beban ekonomi rumah tangga.",Ekonomi,0.968
